cantidadElementos,productoEscalar,microsegundosEjec,segundosEjec
1000,1328338998,58.000000,0.000067
1000,1328338998,58.000000,0.000068
1000,1328338998,57.000000,0.000067
5000,166541694998,197.000000,0.000206
5000,166541694998,197.000000,0.000206
5000,166541694998,198.000000,0.000207
10000,1332833389998,383.000000,0.000391
10000,1332833389998,398.000000,0.000408
10000,1332833389998,385.000000,0.000393
50000,9054636990574,1855.000000,0.001863
50000,9054636990574,1845.000000,0.001855
50000,9054636990574,1833.000000,0.001841
100000,8736894650078,3708.000000,0.003716
100000,8736894650078,791.000000,0.000793
100000,8736894650078,750.000000,0.000753
200000,8479552972222,1507.000000,0.001510
200000,8479552972222,1518.000000,0.001520
200000,8479552972222,1536.000000,0.001538
300000,8385486183582,2293.000000,0.002295
300000,8385486183582,2323.000000,0.002324
300000,8385486183582,2310.000000,0.002312
400000,8330781174654,3301.000000,0.003302
400000,8330781174654,3307.000000,0.003297
400000,8330781174654,3293.000000,0.003286
500000,8432043004510,4150.000000,0.004152
500000,8432043004510,4159.000000,0.004146
500000,8432043004510,4166.000000,0.004168
1000000,8560098573502,8115.000000,0.008117
1000000,8560098573502,7433.000000,0.007436
1000000,8560098573502,7413.000000,0.007416
10000000,7610041548670,75185.000000,0.075187
10000000,7610041548670,75232.000000,0.075236
10000000,7610041548670,75469.000000,0.075472
